MATCH,DAY,DATE,SGT,TEAM 1,TEAM 2,Team1,Team2,VENUE,Bet amount,Madan,Anshu,Pratibha,Reena,Suresh,Pamela,Sanjeev,Archit,S.Laks,Sanjana,Rajiv,Nidhi,Prachi,Kunal,Result,Madan,Anshu,Pratibha,Reena,Suresh,Pamela,Sanjeev,Archit,S.Laks,Sanjana,Rajiv,Nidhi,Prachi,Kunal,Party fund
52,Sat,May 3,22:00,Royal Challengers Bangalore,Chennai Super Kings,RCB,CSK,Bengaluru,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Sun,May 4,18:00,Kolkata Knight Riders,Rajasthan Royals,KKR,RR,Kolkata,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sun,May 4,22:00,Punjab Kings,Lucknow Super Giants,PBKS,LSG,Dharamsala,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Mon,May 5,22:00,Sunrisers Hyderabad,Delhi Capitals,SRH,DC,Hyderabad,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Tue,May 6,22:00,Mumbai Indians,Gujarat Titans,MI,GT,Mumbai,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Wed,May 7,22:00,Kolkata Knight Riders,Chennai Super Kings,KKR,CSK,Kolkata,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Thu,May 8,22:00,Punjab Kings,Delhi Capitals,PBKS,DC,Dharamsala,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Fri,May 9,22:00,Lucknow Super Giants,Royal Challengers Bangalore,LSG,RCB,Lucknow,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sat,May 10,22:00,Sunrisers Hyderabad,Kolkata Knight Riders,SRH,KKR,Hyderabad,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Sun,May 11,18:00,Punjab Kings,Mumbai Indians,PBKS,MI,Dharamsala,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Sun,May 11,22:00,Delhi Capitals,Gujarat Titans,DC,GT,Delhi,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Mon,May 12,22:00,Chennai Super Kings,Rajasthan Royals,CSK,RR,Chennai,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Tue,May 13,22:00,Royal Challengers Bangalore,Sunrisers Hyderabad,RCB,SRH,Bengaluru,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Wed,May 14,22:00,Gujarat Titans,Lucknow Super Giants,GT,LSG,Ahmedabad,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Thu,May 15,22:00,Mumbai Indians,Delhi Capitals,MI,DC,Mumbai,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Fri,May 16,22:00,Rajasthan Royals,Punjab Kings,RR,PBKS,Jaipur,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Sat,May 17,22:00,Royal Challengers Bangalore,Kolkata Knight Riders,RCB,KKR,Bengaluru,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Sun,May 18,18:00,Gujarat Titans,Chennai Super Kings,GT,CSK,Ahmedabad,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Sun,May 18,22:00,Lucknow Super Giants,Sunrisers Hyderabad,LSG,SRH,Lucknow,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Tue,May 20,22:00,#N/A,#N/A,,,Hyderabad,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Wed,May 21,22:00,#N/A,#N/A,,,Hyderabad,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Fri,May 23,22:00,#N/A,#N/A,,,Kolkata,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Sun,May 25,22:00,#N/A,#N/A,,,Kolkata,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
